x,y,w
4.998,-0.115,0.097
5.048,-0.11,0.073
5.098,-0.107,0.048
5.148,-0.105,0.048
5.198,-0.103,0.048
5.248,-0.1,0.028
5.303,-0.1,-0.001
5.358,-0.1,-0.001
5.408,-0.1,-0.001
5.463,-0.1,-0.001
5.518,-0.1,-0.001
5.568,-0.101,-0.013
5.618,-0.102,-0.049
5.668,-0.105,-0.051
5.718,-0.107,-0.051
5.768,-0.11,-0.051
5.818,-0.112,-0.051
5.868,-0.115,-0.051
5.918,-0.117,-0.051
5.972,-0.12,-0.051
6.022,-0.123,-0.051
6.072,-0.125,-0.051
6.122,-0.128,-0.051
6.172,-0.13,-0.051
6.222,-0.133,-0.051
6.272,-0.135,-0.051
6.322,-0.138,-0.051
6.372,-0.141,-0.055
6.422,-0.144,-0.091
6.472,-0.149,-0.1
6.526,-0.154,-0.1
6.576,-0.159,-0.1
6.626,-0.164,-0.1
6.676,-0.169,-0.1
6.73,-0.175,-0.1
6.78,-0.18,-0.1
6.83,-0.185,-0.1
6.88,-0.19,-0.1
6.934,-0.195,-0.1
6.984,-0.2,-0.1
7.034,-0.205,-0.1
7.084,-0.21,-0.1
7.138,-0.216,-0.1
7.188,-0.221,-0.1
7.238,-0.226,-0.1
7.292,-0.231,-0.1
7.342,-0.236,-0.1
7.392,-0.241,-0.1
7.442,-0.246,-0.1
7.496,-0.252,-0.1
7.546,-0.257,-0.1
7.596,-0.262,-0.1
7.646,-0.267,-0.1
7.7,-0.272,-0.1
7.75,-0.277,-0.076
7.8,-0.28,-0.06
7.85,-0.283,-0.06
7.9,-0.286,-0.06
7.95,-0.289,-0.059
8.0,-0.292,-0.033
8.05,-0.293,-0.029
8.1,-0.294,-0.029
8.15,-0.296,-0.028
8.2,-0.297,0.005
8.25,-0.295,0.052
8.3,-0.292,0.068
8.354,-0.288,0.068
8.404,-0.285,0.068
8.454,-0.282,0.069
8.504,-0.277,0.102
8.554,-0.271,0.146
8.608,-0.263,0.155
8.662,-0.254,0.155
8.712,-0.246,0.164
8.766,-0.236,0.213
8.819,-0.223,0.265
8.867,-0.209,0.313
8.919,-0.191,0.365
8.97,-0.17,0.417
9.015,-0.148,0.465
9.064,-0.122,0.517
9.111,-0.094,0.569
9.156,-0.063,0.622
9.2,-0.03,0.671
9.243,0.005,0.68
9.286,0.039,0.68
9.328,0.074,0.68
9.371,0.109,0.7
9.412,0.145,0.752
9.448,0.18,0.799
9.482,0.217,0.847
9.517,0.259,0.899
9.547,0.299,0.947
9.576,0.34,0.994
9.604,0.387,1.046
9.628,0.431,1.094
9.65,0.476,1.141
9.67,0.522,1.189
9.689,0.573,1.241
9.704,0.621,1.289
9.718,0.674,1.341
9.728,0.723,1.388
9.737,0.777,1.439
